2.400000000000000E+009,1.582703143358231E-001,6.235383450984955E-002,1.085174386389554E-003,1.566821592859924E-003,
2.400166666666667E+009,1.580783575773239E-001,6.072138622403145E-002,1.307728816755116E-003,1.418450847268105E-003,
2.400333333333334E+009,1.579533517360687E-001,5.890260636806488E-002,1.119289081543684E-003,1.343651791103184E-003,
2.400500000000000E+009,1.579719930887222E-001,5.695617571473122E-002,1.364894327707589E-003,1.463956898078322E-003,
2.400666666666667E+009,1.578394919633865E-001,5.497177690267563E-002,1.360608381219208E-003,1.415298902429640E-003,
2.400833333333334E+009,1.581836044788361E-001,5.310652777552605E-002,1.419850508682430E-003,1.315713860094547E-003,
2.401000000000000E+009,1.581365168094635E-001,5.101942643523216E-002,1.370655954815447E-003,1.241321675479412E-003,
2.401166666666667E+009,1.582241058349609E-001,4.889039322733879E-002,1.518784905783832E-003,1.290271757170558E-003,
2.401333333333334E+009,1.583912372589111E-001,4.677915573120117E-002,1.574614434503019E-003,1.198105863295496E-003,
2.401500000000000E+009,1.587444394826889E-001,4.473338276147842E-002,1.462180051021278E-003,1.051925122737885E-003,
2.401666666666667E+009,1.589625626802445E-001,4.276713728904724E-002,1.547574880532920E-003,1.047265483066440E-003,
2.401833333333334E+009,1.592563688755035E-001,4.059123620390892E-002,1.595213310793042E-003,9.831716306507587E-004,
2.402000000000000E+009,1.596261709928513E-001,3.865223750472069E-002,1.674559782259166E-003,9.307575528509915E-004,
2.402166666666667E+009,1.602756977081299E-001,3.661123663187027E-002,1.538353622891009E-003,8.926335722208023E-004,
2.402333333333334E+009,1.607305109500885E-001,3.474376350641251E-002,1.624776632525027E-003,8.808018756099045E-004,
2.402500000000000E+009,1.614591181278229E-001,3.301662951707840E-002,1.702428329735994E-003,8.773468434810638E-004,
2.402666666666667E+009,1.620444208383560E-001,3.130225464701653E-002,1.611640560440719E-003,6.114529678598046E-004,
2.402833333333334E+009,1.628294587135315E-001,2.947994880378246E-002,1.749511575326324E-003,6.634839228354394E-004,
